Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.521542	3.498237	3.921569	4.595588	
0.001000	3.386375	3.294900	6.813725	8.363971	
0.001000	3.238494	3.228198	9.754902	11.488971	
0.001000	3.107091	3.108181	13.529411	13.970589	
0.001000	2.977412	2.981641	16.686274	17.463236	
0.001000	2.856823	2.901105	19.460785	19.761030	
0.001000	2.741201	2.822099	21.441175	21.875000	
0.001000	2.626060	2.794014	23.803921	20.955883	
0.001000	2.685977	2.729161	24.107843	24.356617	
0.001000	2.544112	2.661238	27.558823	25.413603	
0.001000	2.412251	2.606523	30.632353	27.895220	
0.001000	2.296465	2.666212	33.333332	25.689339	
0.001000	2.168114	2.631531	36.240196	28.170956	
0.001000	2.033636	2.688508	39.524509	27.527575	
0.001000	1.903689	2.736429	42.931374	30.055147	
0.001000	1.760268	2.851038	45.970589	26.608456	
0.001000	2.166658	2.723578	38.947712	25.765932	
0.001000	1.985614	2.871004	42.343136	24.662991	
0.001000	1.837038	2.907263	46.058823	26.378677	
0.001000	1.715107	3.069152	49.016338	24.846815	
0.001000	1.579763	3.125900	52.470589	24.908089	
0.001000	1.454937	3.158446	55.709148	24.417892	
0.001000	1.351925	3.307760	58.807190	23.682598	
0.001000	1.260210	3.264999	61.477123	25.030638	
0.001000	1.782187	2.984650	51.691177	24.057905	
0.001000	1.534080	3.188878	56.575981	23.943014	
0.001000	1.413317	3.337346	58.884804	23.069853	
0.001000	1.330114	3.319210	60.897057	24.402575	
0.001000	1.248158	3.668510	62.899509	23.437500	
0.001000	1.181230	3.629447	64.789215	23.644302	
0.001000	1.134445	3.676531	66.071075	21.645220	
0.001000	1.094337	3.859551	67.245094	23.069853	
