Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.517788	3.478940	3.784314	4.687500	
0.001000	3.368742	3.296845	7.117647	9.375000	
0.001000	3.238972	3.166233	9.500000	13.786765	
0.001000	3.088934	3.048267	14.107843	14.338235	
0.000100	2.931893	2.951545	18.161764	18.198530	
0.000100	2.870209	2.893034	19.558823	19.761030	
0.000100	2.822006	2.857790	20.465687	19.025736	
0.000100	2.775961	2.813040	21.671568	21.875000	
0.000100	2.843406	2.870189	20.457516	19.638481	
0.000100	2.790147	2.836778	21.735294	20.067402	
0.000100	2.736386	2.796108	22.820261	21.537991	
0.000100	2.682535	2.755293	24.300653	23.253677	
0.000010	2.665599	2.780038	24.700979	22.173714	
0.000010	2.646837	2.772846	25.230392	22.150736	
0.000010	2.634865	2.765242	25.566175	22.426470	
0.000010	2.623653	2.759205	25.786764	22.518383	
0.001000	2.937486	2.857140	18.150980	20.183825	
0.001000	2.878263	2.829460	19.458824	21.250000	
0.001000	2.844426	2.813281	20.505882	21.029411	
0.001000	2.808324	2.797560	21.188236	21.488972	
0.001000	2.781114	2.791390	21.827452	21.838236	
0.001000	2.758058	2.744851	22.264706	22.297794	
0.001000	2.730309	2.721193	23.190197	23.676472	
0.001000	2.705971	2.711330	23.570589	23.584558	
0.001000	2.683950	2.702873	24.207844	24.025736	
0.001000	2.662528	2.694562	24.807844	24.264706	
0.001000	2.643821	2.663018	25.154903	24.522058	
0.001000	2.621494	2.671412	26.086275	25.055147	
0.001000	2.605264	2.652140	26.298040	24.522058	
0.001000	2.590652	2.634400	26.582354	25.790442	
0.001000	2.573589	2.628448	26.970589	25.312500	
0.001000	2.560389	2.597650	27.356863	26.488972	
0.001000	2.544278	2.614730	27.523531	26.029413	
0.001000	2.530452	2.597871	27.874510	26.544119	
0.001000	2.516394	2.581704	28.211765	27.169119	
0.001000	2.503162	2.587610	28.470589	26.470589	
0.001000	2.489332	2.554225	28.890196	27.922794	
0.001000	2.474620	2.552245	29.260784	27.610294	
0.001000	2.466053	2.554245	29.552942	27.610294	
0.001000	2.452074	2.549346	29.845098	27.518383	
0.001000	2.440217	2.523163	30.149021	28.492647	
0.001000	2.428053	2.548280	30.623529	27.683825	
0.000100	2.417290	2.531194	30.770590	27.591913	
0.000100	2.406058	2.530462	30.962746	28.161766	
0.000100	2.394882	2.535902	31.164707	27.941177	
0.000100	2.382779	2.515422	31.421570	28.713236	
0.000100	2.369776	2.495908	31.858824	29.301472	
0.000100	2.357785	2.495960	32.231373	29.485294	
0.000100	2.351012	2.488616	32.403923	29.613972	
0.000100	2.338352	2.491974	32.625492	28.805147	
0.000100	2.327626	2.489841	32.707844	29.466913	
0.000100	2.317473	2.473233	33.043137	30.055147	
0.000100	2.308587	2.479008	33.588238	29.816177	
0.000100	2.299597	2.473756	33.409805	30.055147	
0.000100	2.287192	2.462806	33.958824	29.687500	
0.000100	2.275112	2.459082	34.268627	30.312500	
0.000100	2.265005	2.470845	34.660786	29.577206	
0.000100	2.253446	2.458098	34.627453	30.294119	
0.000100	2.244479	2.456362	34.862747	30.551472	
0.000100	2.234686	2.470878	35.462746	29.963236	
0.000100	2.225121	2.472723	35.405884	30.294119	
0.000100	2.211949	2.442678	35.792156	31.102942	
0.000100	2.200888	2.441642	36.054901	31.066177	
0.000100	2.188230	2.446384	36.513725	31.250000	
0.000100	2.176334	2.428778	36.682354	30.992647	
0.000100	2.169383	2.448799	36.960785	30.661766	
0.000100	2.157103	2.428878	37.254902	30.275736	
0.000100	2.147437	2.430302	37.474510	30.661766	
0.000100	2.134866	2.454507	37.676472	30.919119	
0.000100	2.119050	2.452635	38.272549	30.845589	
0.000100	2.107361	2.471495	38.443138	31.047794	
0.000100	2.096902	2.473882	38.547058	30.073530	
0.000010	1.977996	2.405139	41.901962	31.746325	
0.000010	1.955282	2.406279	42.615688	32.389706	
0.000010	1.948786	2.410809	42.856865	32.371323	
0.000010	1.938202	2.414652	43.070591	31.966913	
0.000010	1.933590	2.413682	43.058823	32.463238	
0.000010	1.926688	2.412784	43.327454	32.352943	
0.000010	1.925704	2.420350	43.423531	32.573528	
0.000010	1.915181	2.412435	43.803921	32.077206	
0.000010	1.914952	2.417169	43.680393	32.187500	
0.000010	1.909750	2.420156	43.939217	32.169117	
0.000010	1.904688	2.416132	43.872551	31.875000	
0.000010	1.901779	2.420506	44.160786	31.930147	
0.000010	1.899742	2.417939	44.407845	32.077206	
0.000010	1.894829	2.422992	44.409805	32.040443	
0.000010	1.891663	2.424387	44.345100	32.150738	
0.000010	1.888484	2.427813	44.311768	31.948530	
0.000010	1.886112	2.424914	44.535294	32.242649	
0.000010	1.881255	2.428093	44.570591	31.562500	
0.000010	1.879506	2.422124	44.507843	32.169117	
0.000010	1.872725	2.428831	44.862747	31.838236	
0.000010	1.868878	2.430984	44.890198	31.911766	
0.000010	1.868156	2.432972	45.052940	31.948530	
0.000010	1.863944	2.427623	45.070591	32.261028	
0.000010	1.861322	2.435577	45.264706	31.819853	
0.000010	1.858320	2.431461	45.176472	31.783089	
0.000010	1.853643	2.435576	45.392159	31.727942	
0.000010	1.847593	2.439291	45.533333	32.261028	
0.000010	1.843978	2.436836	45.770588	32.132355	
0.000010	1.839574	2.441656	45.994118	32.003677	
0.000010	1.835599	2.449220	45.935295	31.544119	
