Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.494037	3.351710	4.215686	8.088235	
0.001000	3.295033	3.237824	8.872549	8.731618	
0.001000	3.219133	3.186701	10.421569	13.143382	
0.001000	3.139411	3.126934	12.950980	12.959558	
0.001000	3.063863	3.053462	15.500000	16.084558	
0.001000	2.990842	3.077039	17.068626	15.992647	
0.001000	2.909806	3.013084	18.617647	17.187500	
0.001000	2.831098	2.944060	20.303921	17.095589	
0.001000	2.847825	2.896616	20.504902	20.266544	
0.001000	2.722415	2.852069	23.681372	21.001839	
0.001000	2.609077	2.754073	26.352942	23.667280	
0.001000	2.492819	2.679659	28.774509	25.413603	
0.001000	2.380416	2.688200	31.632353	25.459558	
0.001000	2.264671	2.726803	34.455883	24.494486	
0.001000	2.140701	2.751514	37.279411	26.102942	
0.001000	2.010300	2.984273	40.460785	24.678308	
0.001000	2.250179	2.686718	35.852940	25.582109	
0.001000	2.074313	2.797839	39.519608	25.153187	
0.001000	1.932124	2.891482	42.630718	25.796570	
0.001000	1.786062	2.895272	46.921570	26.041668	
0.001000	1.654031	2.900686	49.758171	27.052696	
0.001000	1.515285	3.028118	53.637253	25.459560	
0.001000	1.405372	3.169586	57.169933	25.122549	
0.001000	1.289733	3.298693	59.977123	24.356619	
0.001000	1.792111	3.029137	51.107841	24.241728	
0.001000	1.557076	3.095787	55.539215	23.138786	
0.001000	1.440366	3.167498	57.946079	23.965992	
0.001000	1.334871	3.490997	60.495098	22.610294	
0.001000	1.283966	3.391510	61.752449	23.460478	
0.001000	1.219056	3.508668	63.348038	23.023897	
0.001000	1.133484	3.674814	66.004898	21.737133	
0.001000	1.087508	3.639887	67.318626	22.748161	
0.000100	1.167598	3.309599	72.584312	23.547794	
0.000100	0.881867	3.477063	78.900002	23.125000	
0.000100	0.711991	3.665072	82.305885	23.529411	
0.000100	0.577881	3.873481	85.396080	23.106619	
0.000100	0.463037	4.104239	88.266670	23.014706	
0.000100	0.364490	4.368207	90.860786	22.628677	
0.000100	0.280814	4.648298	93.396080	22.518383	
0.000100	0.211113	4.988431	95.260788	21.893383	
