Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.197961	2.962702	12.529411	18.014706	
0.001000	2.801686	2.682394	22.578430	25.183825	
0.001000	2.530941	2.683999	29.303921	25.735294	
0.001000	2.294864	2.557540	34.921570	29.687500	
0.001000	2.039048	2.646282	41.274509	27.849264	
0.001000	1.727077	2.793890	49.558823	29.136030	
0.001000	2.129390	2.533555	41.073528	31.893383	
0.001000	1.780797	2.550435	49.073528	32.031250	
0.001000	1.455755	2.939551	57.357841	30.928308	
0.001000	1.143373	3.233785	65.578430	28.722427	
0.001000	0.892671	3.506019	72.813721	29.411764	
0.001000	0.736929	3.813725	77.436272	28.906250	
0.000100	1.494682	2.988758	68.189545	29.074757	
0.000100	1.154662	2.998683	74.166664	29.595589	
0.000100	0.962164	3.047982	77.653595	29.289217	
0.000100	0.807846	3.148067	80.915031	30.024511	
0.000100	0.672485	3.257032	83.990196	30.300245	
0.000100	0.554179	3.405762	86.777779	29.626226	
0.000100	1.298790	3.097960	71.730392	28.699450	
0.000100	1.070767	3.111909	75.088234	27.872242	
0.000100	0.903782	3.228137	78.303917	27.780331	
0.000100	0.754053	3.342442	81.987747	28.377758	
0.000100	0.615673	3.528437	85.470589	27.826286	
0.000100	0.489949	3.725072	88.882355	27.734375	
