Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.206094	2.958180	12.245098	18.290442	
0.001000	2.804841	2.723559	21.950979	24.816177	
0.001000	2.532688	2.627576	29.294117	27.205883	
0.001000	2.279949	2.586535	34.784313	28.584558	
0.001000	2.342411	2.466515	34.068626	30.790442	
0.001000	2.059329	2.387241	40.950981	33.272060	
0.001000	1.775819	2.476132	48.485294	33.593750	
0.001000	1.485374	2.689241	56.093136	30.928308	
0.000100	1.556820	2.632617	62.375816	32.935051	
0.000100	1.307671	2.657311	68.316994	33.333336	
0.000100	1.140387	2.677745	72.029411	33.762257	
0.000100	0.991864	2.775542	75.261436	33.731617	
0.000100	1.456365	2.721383	64.906860	31.089155	
0.000100	1.269140	2.768366	68.593140	30.974264	
0.000100	1.114603	2.819639	71.693626	31.571692	
0.000100	0.960577	2.935022	75.553917	31.663603	
