Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.240611	3.067277	11.656862	15.808824	
0.001000	2.957391	2.889552	18.941175	20.036764	
0.001000	2.764309	2.863334	23.676470	20.863970	
0.001000	2.580018	2.816959	28.392157	20.863970	
0.001000	2.549348	2.602877	29.000000	27.159927	
0.001000	2.289786	2.606114	35.470589	26.976103	
0.001000	2.046384	2.645191	41.460785	27.527575	
0.001000	1.771983	2.753162	48.686275	27.895220	
0.000100	1.588305	2.589250	58.522877	32.352943	
0.000100	1.363460	2.628670	64.333336	32.567402	
0.000100	1.204144	2.677510	68.310455	32.843140	
0.000100	1.059959	2.738528	72.104576	32.751228	
0.000100	1.496670	2.720563	62.879902	31.089155	
0.000100	1.316233	2.767503	66.492645	31.709558	
0.000100	1.159333	2.831827	70.102943	31.502758	
0.000100	1.004804	2.959587	74.196075	31.617647	
0.000010	1.365339	2.990262	69.539215	28.694853	
0.000010	1.310005	2.976566	70.421570	28.768383	
0.000010	1.274935	2.976207	71.092155	28.566177	
0.000010	1.245016	2.980585	71.527451	29.025736	
