Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.231867	3.113782	11.676471	14.613971	
0.001000	2.946951	2.881259	18.813725	20.680147	
0.001000	2.758975	2.862314	23.676470	21.599264	
0.001000	2.575620	2.726676	28.000000	23.897058	
0.001000	2.381598	2.738617	32.676472	23.621325	
0.001000	2.142155	2.771993	38.392155	25.643383	
0.001000	2.342617	2.575025	35.107841	29.779411	
0.001000	2.034649	2.641801	42.284313	27.573530	
0.001000	1.732019	2.711622	50.088234	27.941177	
0.001000	1.413742	3.022908	57.970589	27.757353	
0.001000	1.113652	3.389103	66.308823	25.597427	
0.001000	0.902872	3.722348	72.549019	26.746325	
0.000100	1.385572	2.990479	68.503265	28.676472	
0.000100	1.065950	3.041029	74.813721	29.227942	
0.000100	0.873189	3.115258	78.918297	29.656864	
0.000100	0.713532	3.223692	82.542480	29.901962	
0.000100	0.576785	3.354336	86.127449	30.116423	
0.000100	0.455713	3.519611	89.434639	29.656864	
0.000100	1.226263	3.118627	73.855392	27.757353	
0.000100	0.992570	3.165163	77.460785	28.262867	
0.000100	0.818960	3.304847	80.987747	28.377758	
0.000100	0.666018	3.467907	84.578430	27.941177	
0.000100	0.527580	3.631076	88.061272	28.147978	
0.000100	0.405725	3.849586	91.335785	27.573530	
0.000010	1.134619	3.689048	79.664711	24.852942	
0.000010	1.060827	3.609408	80.152946	25.147058	
0.000010	1.018223	3.592349	80.639221	25.312500	
0.000010	0.983422	3.568642	80.933334	25.404411	
0.000010	0.952961	3.567900	81.270592	25.643383	
0.000010	0.924966	3.570835	81.617645	25.588236	
