Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.163849	2.964096	11.558824	16.636030	
0.001000	2.866708	2.900554	18.696077	19.669117	
0.001000	2.708339	2.846831	22.725491	19.117647	
0.001000	2.552366	2.892843	26.656862	20.312500	
0.001000	2.385800	2.843332	31.009804	20.863970	
0.001000	2.177219	2.857435	36.941177	23.988970	
0.001000	2.435672	2.848298	31.318626	21.783089	
0.001000	2.165585	2.769803	37.651958	24.172794	
0.001000	1.890378	2.944503	45.044117	25.183825	
0.001000	1.586485	3.172829	52.808823	23.621325	
0.001000	1.270825	3.593908	61.725491	23.069853	
0.001000	1.011278	3.936107	69.161766	20.726103	
0.000100	1.475891	3.188969	66.388885	23.958334	
0.000100	1.155561	3.251372	73.081696	25.245098	
0.000100	0.957848	3.339843	77.222221	25.091913	
0.000100	0.793805	3.470873	80.921570	25.153187	
0.000100	0.649107	3.603487	84.457512	24.908089	
0.000100	0.520608	3.794647	87.849670	24.938726	
0.000100	1.238678	3.230165	73.382355	25.620405	
0.000100	0.995508	3.357539	77.183823	26.194853	
0.000100	0.816305	3.490848	80.781860	25.988052	
0.000100	0.658905	3.682007	84.656860	25.919117	
0.000100	0.516958	3.877680	88.379898	26.079964	
0.000100	0.395908	4.129737	91.578430	26.102942	
0.000010	1.136412	3.829834	80.052940	24.007353	
0.000010	1.052834	3.761848	80.694122	24.117647	
0.000010	1.006013	3.715980	81.099998	24.044119	
0.000010	0.969083	3.708164	81.590195	24.283089	
0.000010	0.936562	3.701155	81.941177	24.540442	
0.000010	0.907360	3.703162	82.345100	24.503677	
