Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.221303	2.905327	11.813725	19.393383	
0.001000	2.784011	2.762923	22.352942	22.931986	
0.001000	2.624415	2.592883	27.058823	27.144609	
0.001000	2.474200	2.515616	30.534313	29.411764	
0.001000	2.428584	2.550056	31.725491	28.216913	
0.001000	2.618154	2.520678	26.654903	30.183825	
0.001000	2.536651	2.455589	28.615686	30.863972	
0.001000	2.489182	2.509609	29.568628	29.944853	
0.001000	2.447782	2.439379	30.870588	31.985294	
0.001000	2.418122	2.470067	31.717648	30.698530	
0.001000	2.390867	2.466084	32.247059	31.948530	
0.001000	2.371566	2.390129	32.517647	32.371323	
0.001000	2.350652	2.454126	33.137257	31.617647	
0.001000	2.330268	2.410498	33.688236	33.125000	
0.001000	2.313424	2.489912	34.223530	32.518383	
0.001000	2.302263	2.432395	34.390198	32.316177	
0.001000	2.288757	2.377121	34.649021	33.731617	
0.001000	2.267789	2.458487	35.237255	31.305147	
0.001000	2.263996	2.373514	35.172550	33.897060	
0.001000	2.258194	2.384484	35.550980	33.731617	
0.001000	2.244455	2.543410	36.145100	32.297794	
0.001000	2.230623	2.367628	36.298038	34.705883	
0.001000	2.223734	2.476041	36.343140	32.996323	
0.001000	2.213419	2.472861	36.550980	32.003677	
0.001000	2.206781	2.462192	36.807842	33.088238	
0.001000	2.198179	2.523472	36.860786	33.363972	
0.001000	2.201684	2.423426	36.829414	32.702206	
0.001000	2.190237	2.481935	37.449020	31.654413	
0.001000	2.187549	2.432626	37.229412	32.408089	
0.001000	2.174906	2.447225	37.656864	32.977943	
0.001000	2.175281	2.448655	37.647060	33.235294	
0.001000	2.168656	2.407871	37.564705	33.419117	
0.001000	2.160403	2.471138	37.923531	32.922794	
0.001000	2.161395	2.474535	37.852943	33.033089	
0.001000	2.152782	2.491565	37.994118	32.665443	
0.001000	2.149866	2.400106	38.349022	33.125000	
0.001000	2.143751	2.445866	38.523529	32.647060	
0.001000	2.143182	2.523630	38.425491	32.775738	
0.001000	2.134567	2.439125	38.996078	33.694855	
0.001000	2.133703	2.467587	38.547058	32.610294	
0.001000	2.128785	2.485409	38.833336	31.875000	
0.001000	2.123348	2.578217	39.023529	31.746325	
0.001000	2.130915	2.487697	38.515686	32.463238	
0.001000	2.120015	2.413006	39.096081	33.455883	
0.001000	2.120149	2.447720	39.000000	34.154411	
0.001000	2.109236	2.502956	39.445099	33.106617	
0.001000	2.115483	2.511599	39.156864	32.555149	
0.001000	2.108521	2.497845	39.309803	32.628677	
0.001000	2.104366	2.447295	39.417648	33.327206	
0.001000	2.107697	2.449235	39.466667	33.988972	
0.001000	2.107046	2.479085	39.454903	33.345589	
0.001000	2.103337	2.507045	39.494118	33.069855	
0.001000	2.094823	2.537726	39.596081	32.775738	
0.001000	2.095371	2.587698	39.472549	32.591911	
0.001000	2.092299	2.448027	39.607845	33.602943	
0.001000	2.087773	2.544611	39.770588	32.261028	
0.001000	2.088712	2.579530	39.958824	32.996323	
0.001000	2.095297	2.442514	39.460785	33.933823	
0.001000	2.086315	2.498214	39.809803	33.658089	
0.001000	2.091624	2.459166	39.639217	33.731617	
0.001000	2.083414	2.471247	40.058823	32.922794	
0.001000	2.077192	2.540642	40.288235	32.150738	
0.001000	2.071643	2.527598	40.164707	33.272060	
0.001000	2.072176	2.489882	40.582355	32.444855	
