Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.106113	2.926833	14.327452	19.632353	
0.001000	2.850736	2.713792	20.903921	24.136030	
0.001000	2.702251	2.584962	24.405884	27.720589	
0.001000	2.616290	2.521778	26.323530	29.007353	
0.001000	2.547606	2.518356	28.168629	28.970589	
0.001000	2.498164	2.524372	29.517647	30.000000	
0.001000	2.456424	2.486925	30.629412	30.312500	
0.001000	2.424928	2.485749	31.331373	31.305147	
0.001000	2.398032	2.502271	31.984314	31.691177	
0.001000	2.378273	2.455050	32.417648	31.231619	
0.001000	2.351685	2.413956	33.141178	31.562500	
0.001000	2.338954	2.515981	33.541176	32.003677	
0.001000	2.321615	2.478719	33.813725	31.415442	
0.001000	2.308329	2.480902	34.035294	31.580883	
0.001000	2.290501	2.498743	34.527451	30.919119	
0.001000	2.281725	2.455997	34.939217	32.500000	
0.001000	2.264369	2.439442	35.284313	33.437500	
0.001000	2.259391	2.455453	35.674511	32.775738	
0.001000	2.248098	2.450259	35.654903	32.812500	
0.001000	2.239033	2.435680	36.364708	33.051472	
0.001000	2.234495	2.467805	36.141178	32.077206	
0.001000	2.220029	2.396688	36.188236	33.253677	
0.001000	2.206308	2.489444	37.039215	33.088238	
0.001000	2.211401	2.471984	36.641178	33.676472	
0.001000	2.205684	2.489130	36.784313	31.838236	
0.001000	2.190331	2.502664	37.292156	32.169117	
0.001000	2.183860	2.431936	37.539215	32.205883	
0.001000	2.178815	2.447252	37.521568	33.125000	
0.001000	2.182087	2.486969	37.372551	33.363972	
0.001000	2.169744	2.457853	37.905884	34.283089	
0.001000	2.164798	2.512198	37.901962	32.738972	
0.001000	2.161606	2.491448	37.911766	32.297794	
0.001000	2.152233	2.450388	38.080395	33.051472	
0.001000	2.151446	2.482209	38.331375	31.966913	
0.001000	2.146982	2.465519	38.376472	32.389706	
0.001000	2.147712	2.477822	38.382355	33.602943	
0.001000	2.135967	2.494549	38.772549	32.867649	
0.001000	2.140169	2.506523	38.860786	33.713238	
0.001000	2.133667	2.576811	38.531372	32.830883	
0.001000	2.128941	2.464832	38.792156	32.683823	
0.001000	2.125318	2.457124	39.052940	32.849266	
0.001000	2.128040	2.515424	38.878433	32.242649	
0.001000	2.125357	2.492219	38.950981	32.812500	
0.001000	2.121711	2.541083	38.915688	32.389706	
0.001000	2.110569	2.524675	39.205883	33.327206	
0.001000	2.109376	2.553958	39.376472	33.639706	
0.001000	2.111661	2.499521	39.407845	32.886028	
0.001000	2.107204	2.497536	39.378433	32.187500	
0.001000	2.105557	2.552742	39.194118	32.941177	
0.001000	2.098579	2.470482	39.464706	32.867649	
0.001000	2.100605	2.500926	39.692158	32.500000	
0.001000	2.099237	2.542011	39.682354	32.647060	
0.001000	2.098319	2.549783	39.450981	31.727942	
0.001000	2.094282	2.536991	39.543137	32.205883	
0.001000	2.095879	2.468440	39.623531	33.106617	
0.001000	2.093470	2.513465	39.607845	32.738972	
0.001000	2.091259	2.514163	39.878433	32.500000	
0.001000	2.082733	2.535360	39.833336	33.400738	
0.001000	2.085539	2.487326	39.827454	33.878677	
0.001000	2.083569	2.474103	39.896080	33.088238	
