Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.302902	3.129825	9.382353	13.694853	
0.001000	3.016813	2.881365	17.024509	20.955883	
0.001000	2.819306	2.788142	21.604574	22.794119	
0.001000	2.632810	2.634573	26.164215	26.194853	
0.001000	2.474027	2.635012	30.272551	27.022058	
0.001000	2.641261	2.562315	26.152943	27.904413	
0.001000	2.551983	2.609735	28.074511	28.308825	
0.001000	2.500884	2.484356	29.366667	29.944853	
0.001000	2.458794	2.612919	30.452942	28.106619	
0.001000	2.425585	2.469484	31.433334	32.279411	
0.001000	2.400978	2.574299	32.013725	30.147058	
0.001000	2.376044	2.560122	32.652943	30.202206	
0.001000	2.359357	2.398333	32.909805	33.584560	
0.001000	2.335428	2.450147	33.552940	32.500000	
0.001000	2.317093	2.538129	34.049019	30.477942	
0.001000	2.305404	2.508722	34.196079	31.305147	
0.001000	2.292980	2.405040	34.703922	32.555149	
0.001000	2.274022	2.524353	35.264706	31.691177	
0.001000	2.263168	2.433955	35.460785	33.125000	
0.001000	2.252412	2.476797	35.799999	32.830883	
0.001000	2.248299	2.468656	35.686275	32.610294	
0.001000	2.236547	2.418506	36.188236	33.988972	
0.001000	2.229239	2.481052	36.380394	32.757355	
0.001000	2.222601	2.484343	36.143139	32.757355	
0.001000	2.215873	2.442631	36.396080	32.720589	
0.001000	2.208911	2.508224	36.782352	32.334560	
0.001000	2.197602	2.419771	36.956863	33.327206	
0.001000	2.194011	2.408121	36.960785	32.757355	
0.001000	2.183258	2.500051	37.452942	32.573528	
0.001000	2.187657	2.382103	37.174511	34.209560	
0.001000	2.177246	2.516742	37.505882	33.180149	
0.001000	2.166576	2.516546	37.707844	31.544119	
0.001000	2.169037	2.453750	37.880394	31.378677	
0.001000	2.159540	2.445134	37.947060	32.720589	
