Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.241652	3.047932	11.627451	17.279411	
0.001000	2.893553	2.802058	20.093138	22.288603	
0.001000	2.648243	2.540983	25.990196	28.278187	
0.001000	2.484790	2.555089	30.009804	29.204964	
0.001000	2.428650	2.534554	31.701962	29.080883	
0.001000	2.612713	2.578914	26.815687	28.014706	
0.001000	2.525999	2.460221	29.001961	30.735294	
0.001000	2.476120	2.519270	30.233334	29.319853	
0.001000	2.435930	2.410426	31.098040	32.224266	
0.001000	2.408540	2.470598	31.756863	31.691177	
0.001000	2.375515	2.519838	32.605885	30.698530	
0.001000	2.364844	2.435410	32.672550	32.794117	
0.001000	2.337697	2.555475	33.486275	30.680147	
0.001000	2.319393	2.461469	33.998039	33.161766	
0.001000	2.306363	2.442541	34.405884	33.051472	
0.001000	2.295305	2.419236	34.821568	32.500000	
0.001000	2.278799	2.432615	34.790195	33.088238	
0.001000	2.263506	2.450724	35.443138	32.591911	
0.001000	2.255922	2.423002	35.398041	32.867649	
0.001000	2.245175	2.423418	35.852943	32.334560	
0.001000	2.235274	2.472334	36.054901	33.051472	
0.001000	2.230983	2.455422	36.076473	33.198528	
0.001000	2.219204	2.442432	36.417648	32.904411	
0.001000	2.209556	2.391416	36.915688	33.658089	
0.001000	2.207517	2.436360	36.888237	32.977943	
0.001000	2.198676	2.453243	37.382355	33.180149	
0.001000	2.189535	2.454115	37.623531	32.702206	
0.001000	2.181489	2.463873	37.437256	32.518383	
0.001000	2.182984	2.525256	37.509804	31.764706	
0.001000	2.174746	2.551324	37.731373	31.470589	
0.001000	2.168695	2.432685	37.821571	33.566177	
0.001000	2.162654	2.458345	37.962746	32.536766	
0.001000	2.159323	2.438533	37.990196	33.327206	
0.001000	2.156078	2.545305	37.905884	31.654413	
0.001000	2.153123	2.458143	38.200001	33.308823	
0.001000	2.143384	2.560666	38.603924	31.985294	
0.001000	2.146125	2.512360	38.288235	32.812500	
0.001000	2.134938	2.493488	38.835297	32.518383	
0.001000	2.134132	2.443255	38.676472	33.584560	
0.001000	2.134734	2.433066	38.596081	33.051472	
0.001000	2.124932	2.500428	38.733334	33.566177	
0.001000	2.125335	2.493247	38.896080	32.481617	
0.001000	2.120097	2.479832	39.080395	33.455883	
0.001000	2.121919	2.479028	38.758823	33.823528	
0.001000	2.113149	2.508307	39.198040	32.334560	
0.001000	2.107314	2.499589	39.360786	32.187500	
0.001000	2.105883	2.494195	39.564705	33.455883	
0.001000	2.109574	2.531334	39.117649	33.308823	
0.001000	2.107928	2.435454	39.494118	32.904411	
0.001000	2.105455	2.460016	39.298038	33.235294	
0.001000	2.102196	2.454641	39.433334	31.691177	
0.001000	2.099976	2.603947	39.656864	33.345589	
0.001000	2.096492	2.489070	39.819611	33.602943	
0.001000	2.093143	2.617177	39.958824	33.290443	
0.001000	2.092281	2.583069	39.752941	32.775738	
0.001000	2.095742	2.443424	39.666668	33.363972	
0.001000	2.089751	2.449170	39.803921	32.794117	
0.001000	2.083829	2.531667	40.180393	33.474266	
0.001000	2.086980	2.577679	39.794117	32.775738	
0.001000	2.083012	2.591672	40.231373	33.014706	
0.001000	2.082889	2.548632	40.186275	32.389706	
0.001000	2.081786	2.528103	40.072552	33.198528	
0.001000	2.083437	2.463691	39.974510	33.216911	
0.001000	2.074418	2.510691	40.039215	34.283089	
