Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.195790	3.010845	11.352941	14.613971	
0.001000	2.904744	2.857080	18.431372	20.220589	
0.001000	2.721147	2.697971	23.444445	25.091913	
0.001000	2.547370	2.569524	27.960783	27.458639	
0.001000	2.478070	2.557374	30.241177	28.290442	
0.001000	2.634629	2.531010	26.250980	29.632353	
0.001000	2.549086	2.609618	28.515686	28.345589	
0.001000	2.500746	2.533922	29.435295	30.569853	
0.001000	2.451303	2.509828	30.674511	30.073530	
0.001000	2.425752	2.441602	31.337255	31.433825	
0.001000	2.390799	2.477025	32.319607	31.213236	
0.001000	2.368989	2.461179	32.858826	31.158089	
0.001000	2.350903	2.444451	33.200001	32.812500	
0.001000	2.331614	2.532417	33.652943	31.709560	
0.001000	2.320152	2.395424	33.941177	33.621323	
0.001000	2.301242	2.529464	34.541176	31.654413	
0.001000	2.286975	2.391076	34.664707	32.867649	
0.001000	2.278155	2.453453	35.068626	31.691177	
0.001000	2.264666	2.426135	35.380394	33.308823	
0.001000	2.251176	2.414070	35.774509	33.474266	
0.001000	2.247185	2.533842	35.990196	32.334560	
0.001000	2.233974	2.550894	36.080395	32.702206	
0.001000	2.231075	2.530168	36.268627	33.345589	
0.001000	2.220380	2.442667	36.680393	33.198528	
0.001000	2.209669	2.476071	36.658825	32.647060	
0.001000	2.204549	2.421890	36.943138	33.621323	
0.001000	2.196786	2.451535	36.915688	32.830883	
0.001000	2.189720	2.433433	37.184315	32.775738	
0.001000	2.185625	2.514522	37.529411	31.709560	
0.001000	2.177724	2.451178	37.831375	34.044117	
0.001000	2.174127	2.449591	37.649021	33.547794	
0.001000	2.166785	2.404953	37.907845	33.088238	
0.001000	2.159516	2.467595	38.031372	32.224266	
0.001000	2.160820	2.498059	37.947060	33.106617	
