Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.114032	2.895556	14.164706	19.540442	
0.001000	2.846752	2.710917	20.874510	23.823530	
0.001000	2.710116	2.675901	24.150980	26.286766	
0.001000	2.617713	2.571548	26.392157	28.437500	
0.001000	2.554710	2.519326	28.209805	29.779413	
0.001000	2.504362	2.504411	29.096079	30.294119	
0.001000	2.462673	2.438462	30.394119	31.838236	
0.001000	2.426161	2.528765	31.343138	29.944853	
0.001000	2.407893	2.446418	31.686275	31.158089	
0.001000	2.381019	2.503551	32.488235	30.349266	
0.001000	2.357089	2.449089	32.886276	31.213236	
0.001000	2.339996	2.427782	33.554901	32.481617	
0.001000	2.325023	2.421167	33.727451	32.389706	
0.001000	2.316408	2.420342	34.052940	32.757355	
0.001000	2.290936	2.462042	34.713726	32.003677	
0.001000	2.283583	2.422958	34.690197	31.985294	
0.001000	2.275436	2.490240	34.931374	32.205883	
0.001000	2.258996	2.406357	35.474510	33.272060	
0.001000	2.252708	2.504256	35.758823	31.433825	
0.001000	2.240042	2.555507	35.935295	30.735294	
0.001000	2.232943	2.458488	36.247059	32.591911	
0.001000	2.221502	2.480553	36.258823	32.224266	
0.001000	2.217723	2.496740	36.672550	31.636030	
0.001000	2.207444	2.466828	36.721569	32.224266	
0.001000	2.206139	2.494736	36.980392	32.242649	
0.001000	2.197383	2.453773	37.049019	32.518383	
0.001000	2.194364	2.487676	36.931374	31.580883	
0.001000	2.189194	2.466144	37.339218	31.599266	
0.001000	2.178144	2.502481	37.549019	31.102942	
0.001000	2.169987	2.501553	37.741177	32.702206	
0.000100	1.891758	2.290471	45.145100	36.819855	
0.000100	1.809236	2.301374	47.070591	37.095589	
0.000100	1.775237	2.314666	47.949020	37.886028	
0.000100	1.742898	2.300904	48.768627	37.297794	
0.000100	1.717605	2.312507	49.260784	37.389706	
0.000100	1.701198	2.341377	49.807846	37.757355	
0.000100	1.687388	2.311109	50.437256	37.536766	
0.000100	1.672855	2.338940	50.752941	37.610294	
0.000100	1.651323	2.348925	51.292156	37.830883	
0.000100	1.632925	2.332953	51.584316	37.720589	
0.000100	1.617452	2.377219	51.933334	37.316177	
0.000100	1.602378	2.368042	52.466667	37.150738	
0.000100	1.598020	2.375173	52.452942	37.536766	
0.000100	1.577874	2.374154	53.066669	37.205883	
0.000100	1.569622	2.381236	53.060787	37.904411	
0.000100	1.556902	2.394282	53.417648	37.500000	
0.000100	1.546829	2.411375	53.711765	37.591911	
0.000100	1.540378	2.412584	53.960785	37.334560	
0.000100	1.518931	2.421694	54.531372	37.444855	
0.000100	1.513957	2.420183	54.729412	37.334560	
0.000100	1.507813	2.413475	54.970589	37.316177	
0.000100	1.492246	2.429543	55.262745	37.132355	
0.000100	1.483443	2.466450	55.558826	36.544117	
0.000100	1.468212	2.490834	56.033333	36.691177	
0.000100	1.464193	2.454267	56.227451	36.966911	
0.000100	1.455820	2.451368	56.380394	36.488972	
0.000100	1.448564	2.482452	56.315689	36.985294	
0.000100	1.438388	2.490961	56.700001	36.617649	
0.000100	1.430275	2.501679	56.915688	36.783089	
0.000100	1.422481	2.494845	57.335297	36.599266	
0.000010	1.335958	2.499490	59.570591	37.426472	
0.000010	1.322191	2.493310	59.841179	37.279411	
0.000010	1.316356	2.499135	60.258823	37.187500	
0.000010	1.312165	2.511188	60.174511	37.628677	
0.000010	1.305079	2.508183	60.694118	37.022060	
0.000010	1.303846	2.515369	60.488235	37.077206	
0.000010	1.296555	2.523341	60.890198	37.187500	
0.000010	1.300248	2.522872	60.990196	37.169117	
0.000010	1.286678	2.529871	61.105885	37.113972	
0.000010	1.292490	2.523930	60.982353	37.481617	
0.000010	1.282171	2.533308	61.141178	37.150738	
0.000010	1.291766	2.537081	60.956863	37.463238	
0.000010	1.283000	2.531468	61.258823	37.205883	
0.000010	1.278365	2.542990	61.239216	37.297794	
0.000010	1.280548	2.538512	61.139217	37.169117	
0.000010	1.275133	2.541046	61.433334	37.169117	
0.000010	1.270523	2.546475	61.711765	37.297794	
0.000010	1.271033	2.554703	61.478432	37.022060	
0.000010	1.270821	2.553290	61.319611	37.113972	
0.000010	1.271946	2.552310	61.545101	37.132355	
0.000010	1.270552	2.547186	61.598042	37.297794	
0.000010	1.262471	2.559163	61.603924	37.187500	
0.000010	1.266116	2.560310	61.696079	37.205883	
0.000010	1.256343	2.563721	61.758823	36.911766	
0.000010	1.259684	2.569512	61.707844	37.003677	
0.000010	1.256596	2.564218	61.701962	37.224266	
0.000010	1.252112	2.573081	62.000000	37.224266	
0.000010	1.252161	2.566814	62.015686	37.297794	
0.000010	1.254372	2.569250	61.819611	37.316177	
0.000010	1.249156	2.572653	62.033333	37.132355	
