Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.200798	2.926862	12.901960	17.922794	
0.001000	2.765842	2.626492	22.705881	28.400736	
0.001000	2.509448	2.571305	29.539215	28.584558	
0.001000	2.273471	2.496082	35.225491	32.812500	
0.001000	2.019328	2.558380	41.372547	32.536766	
0.001000	2.216229	2.392378	37.534313	33.639706	
0.001000	1.928422	2.544900	44.171570	32.352940	
0.001000	1.655398	2.586780	51.240196	33.639706	
0.001000	1.391409	2.902228	58.225491	31.066177	
0.001000	1.159512	3.334661	64.696075	29.365808	
0.000100	1.509000	2.753346	65.104576	30.851717	
0.000100	1.219750	2.782290	70.751633	31.280638	
0.000100	1.046871	2.892452	74.549019	31.556374	
0.000100	0.900033	2.972604	77.732025	31.464462	
0.000100	0.765031	3.154347	80.813721	31.188726	
0.000100	1.367103	2.843601	68.164215	29.940258	
0.000100	1.162754	2.901154	71.482841	30.997242	
0.000100	1.003642	3.020541	74.843140	30.124081	
0.000100	0.851349	3.177684	78.348038	29.848345	
0.000100	0.702710	3.399297	82.252449	29.871325	
0.000100	1.309884	3.095200	71.045097	27.242647	
0.000100	1.092470	3.203790	74.321571	27.169119	
0.000100	0.918133	3.421397	77.819611	26.911766	
0.000100	0.752847	3.646706	81.523529	26.176472	
0.000100	0.593610	3.959790	85.425491	25.680147	
