Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	3.253220	3.050656	11.274509	16.268383	
0.001000	2.946741	2.930617	19.058823	18.290442	
0.001000	2.748034	2.757727	23.401960	23.345589	
0.001000	2.577699	2.759125	28.362745	24.080883	
0.001000	2.377984	2.661993	33.107841	26.102942	
0.001000	2.446206	2.571076	31.558823	28.492647	
0.001000	2.193818	2.530818	37.632351	30.652575	
0.001000	1.965190	2.702427	42.735294	29.457720	
0.001000	1.715189	2.815398	49.808823	27.987133	
0.001000	1.461677	3.140578	56.352940	26.700367	
0.000100	1.462257	2.773202	63.480392	31.096815	
0.000100	1.202264	2.859339	69.470589	31.740198	
0.000100	1.031739	2.933164	73.369278	32.291668	
0.000100	0.878254	3.050089	77.323524	31.678923	
0.000100	0.740083	3.221135	80.859474	31.464462	
0.000100	1.354550	2.906622	68.370094	30.744486	
0.000100	1.143178	2.948751	71.879898	30.353861	
0.000100	0.975982	3.115110	75.473038	30.170036	
0.000100	0.817683	3.272230	79.159309	29.894302	
0.000100	0.663542	3.498868	83.183823	29.848345	
0.000100	1.301695	3.179474	71.547058	27.555147	
0.000100	1.079162	3.315333	74.990196	26.672794	
0.000100	0.903654	3.482960	78.068626	27.334558	
0.000100	0.735643	3.780408	81.898041	27.113972	
0.000100	0.577936	4.124992	85.778435	26.764706	
